City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Santa Maria Da Vitoria,BR,77.72,broken clouds,-13.3947,-44.1886,Pousada Rio Current
387,San Carlos De Bariloche,AR,71.6,clear sky,-41.1456,-71.3082,Hotel Patagonia
388,Yulara,AU,80.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
391,Waingapu,ID,78.4,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
393,San Angelo,US,72.0,broken clouds,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
394,Hualmay,PE,73.92,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
396,Mecca,SA,72.59,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
399,Sri Aman,MY,77.0,light rain,1.2376,111.4621,Seri Simanggang Hotel
406,Grand Gaube,MU,75.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
408,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
409,Richards Bay,ZA,72.41,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
410,San Blas,MX,77.0,few clouds,21.5167,-105.2667,Hotel Posada del Rey
417,Kampong Thum,KH,72.95,clear sky,12.7111,104.8887,Sambor Village Hotel
423,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
425,Piacabucu,BR,77.79,broken clouds,-10.4056,-36.4344,Piaçabuçu News
427,Nisia Floresta,BR,77.0,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
429,Port Lincoln,AU,73.11,light rain,-34.7333,135.8667,Port Lincoln Hotel
430,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
436,General Cepeda,MX,82.4,scattered clouds,25.3833,-101.45,Hacienda Los Jose
439,Sao Joao Da Barra,BR,75.96,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
449,Kirakira,SB,83.86,overcast clouds,-10.4544,161.9205,SanBiz Lodge
450,Yenagoa,NG,78.1,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
452,Jaque,PA,81.93,broken clouds,7.5175,-78.1703,Imbu Bua Lodge
453,Tucupita,VE,73.99,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
455,Port Blair,IN,73.06,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
461,Bambanglipuro,ID,75.29,overcast clouds,-7.95,110.2833,Puri Brata
462,Byron Bay,AU,77.0,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
464,La Asuncion,VE,75.42,broken clouds,11.0333,-63.8628,Colinas de Matasiete
465,Siavonga,ZM,73.11,light rain,-16.5382,28.7088,Lavongora Waterfront Lodge
467,Kismayo,SO,77.49,overcast clouds,-0.3582,42.5454,Agan-Hotel
479,Sindou,BF,74.28,clear sky,10.6667,-5.1667,LERABA HOTEL
485,Atambua,ID,75.69,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
489,Moree,AU,77.0,clear sky,-29.4667,149.85,Molika Springs Motel
496,Linhares,BR,73.89,scattered clouds,-19.3911,-40.0722,Hotel Conceição
500,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
514,Dalby,AU,75.2,few clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
515,Buala,SB,85.01,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
523,Am Timan,TD,75.0,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
524,Araceli,PH,81.19,clear sky,10.5529,119.9913,JBryan Traveler's Inn
529,Padang,ID,73.4,broken clouds,-0.9492,100.3543,Mercure Padang
532,Yeppoon,AU,77.0,overcast clouds,-23.1333,150.7333,Villa Mar Colina
536,Nabire,ID,79.72,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
538,Antalaha,MG,75.38,clear sky,-14.9003,50.2788,Hotel Vitasoa
544,Sechura,PE,78.58,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
555,Ambilobe,MG,73.09,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
559,Puerto Quijarro,BO,76.71,overcast clouds,-17.7833,-57.7667,Hotel palance
562,Imbituba,BR,73.4,light rain,-28.24,-48.6703,Praia Hotel Imbituba
564,Ambon,ID,80.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
569,Marawi,PH,73.99,scattered clouds,7.9986,124.2928,Derogongan Residence
571,Eirunepe,BR,76.59,broken clouds,-6.6603,-69.8736,Atrás de você
578,Sungai Petani,MY,78.8,scattered clouds,5.647,100.4877,Swiss-Inn Sungai Petani
581,Karratha,AU,82.62,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
584,Nuevo Progreso,MX,80.01,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
586,Neiafu,TO,77.0,moderate rain,-18.65,-173.9833,Mystic Sands
589,Salinopolis,BR,78.37,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
592,La Reforma,MX,73.99,scattered clouds,25.0833,-108.05,Arremar Angostura
593,Kaeo,NZ,80.01,few clouds,-35.1,173.7833,Bushido Lodge
596,Miguel Auza,MX,70.59,broken clouds,24.2933,-103.4503,Hotel Del Centro
601,Lekoni,GA,75.24,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
604,Ugep,NG,76.46,few clouds,5.8086,8.0812,Classic Bar
606,Kanniyakumari,IN,75.69,overcast clouds,8.0833,77.5667,Sparsa
611,Houma,US,75.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
614,Sinnamary,GF,76.89,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
616,Takoradi,GH,78.55,scattered clouds,4.8845,-1.7554,Raybow International Hotel
